,pmd:TSO,pmd:cgmesProfile,pmd:content-reference,pmd:contentType,pmd:conversationId,pmd:creationDate,pmd:description,pmd:fileName,pmd:fullModel_ID,pmd:isFullModel,pmd:modelPartReference,pmd:modelProfile,pmd:modelid,pmd:modelingAuthoritySet,pmd:scenarioDate,pmd:timeHorizon,pmd:validFrom,pmd:version,pmd:versionNumber
0,AST,SV,CGMES/1D/AST/20181122/03000/SV/20181122T0030Z_1D_AST_SV_001.xml,CGMES,1280538573,2018-11-21T14:31:52Z,Mustang case: buses - 272 branches - 356,20181122T0030Z_1D_AST_SV_001.xml,a65fe645-a352-4a74-8c0c-c1409311ab79,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,a65fe645-a352-4a74-8c0c-c1409311ab79,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T00:30:00Z,1D,20181122T0030Z,001,001
1,ELERING,SV,CGMES/1D/ELERING/20181122/03000/SV/20181122T0030Z_1D_ELERING_SV_001.xml,CGMES,1672742457,2018-11-21T18:13:47Z,ELERING AP--Base-Network,20181122T0030Z_1D_ELERING_SV_001.xml,a5d8a9dd-df6d-4da2-b688-54ab646595de,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,a5d8a9dd-df6d-4da2-b688-54ab646595de,http://www.elering.ee/OperationalPlanning,2018-11-22T00:30:00Z,1D,20181122T0030Z,001,001
2,LITGRID,SV,CGMES/1D/LITGRID/20181122/03000/SV/20181122T0030Z_1D_LITGRID_SV_001.xml,CGMES,-1623769857,2018-11-21T14:31:16.1052685Z,,20181122T0030Z_1D_LITGRID_SV_001.xml,0420eac5-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,0420eac5-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T00:30:00.0000000Z,1D,20181122T0030Z,1,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/13000/SV/20181122T0130Z_1D_ELERING_SV_001.xml,CGMES,1661289566,2018-11-21T18:14:38Z,ELERING AP--Base-Network,20181122T0130Z_1D_ELERING_SV_001.xml,47563c6f-5350-4d3e-88db-357291a2d894,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,47563c6f-5350-4d3e-88db-357291a2d894,http://www.elering.ee/OperationalPlanning,2018-11-22T01:30:00Z,1D,20181122T0130Z,001,001
1,AST,SV,CGMES/1D/AST/20181122/13000/SV/20181122T0130Z_1D_AST_SV_001.xml,CGMES,-1334144386,2018-11-21T14:31:52Z,Mustang case: buses - 272 branches - 356,20181122T0130Z_1D_AST_SV_001.xml,c642614f-ca3a-4959-ba39-abffd52aeab1,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,c642614f-ca3a-4959-ba39-abffd52aeab1,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T01:30:00Z,1D,20181122T0130Z,001,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/23000/SV/20181122T0230Z_1D_ELERING_SV_001.xml,CGMES,-560695413,2018-11-21T18:15:30Z,ELERING AP--Base-Network,20181122T0230Z_1D_ELERING_SV_001.xml,169b8752-beae-490e-b754-b857cb97c2f0,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,169b8752-beae-490e-b754-b857cb97c2f0,http://www.elering.ee/OperationalPlanning,2018-11-22T02:30:00Z,1D,20181122T0230Z,001,001
1,LITGRID,SV,CGMES/1D/LITGRID/20181122/23000/SV/20181122T0230Z_1D_LITGRID_SV_001.xml,CGMES,1008027890,2018-11-21T14:32:33.7312143Z,,20181122T0230Z_1D_LITGRID_SV_001.xml,3771c196-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,3771c196-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T02:30:00.0000000Z,1D,20181122T0230Z,1,001
2,AST,SV,CGMES/1D/AST/20181122/23000/SV/20181122T0230Z_1D_AST_SV_001.xml,CGMES,1957751288,2018-11-21T14:31:52Z,Mustang case: buses - 272 branches - 356,20181122T0230Z_1D_AST_SV_001.xml,c168d77f-1c74-469e-b965-b67ff024295f,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,c168d77f-1c74-469e-b965-b67ff024295f,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T02:30:00Z,1D,20181122T0230Z,001,001
0,ELERING,SV,CGMES/1D/ELERING/20181122/33000/SV/20181122T0330Z_1D_ELERING_SV_001.xml,CGMES,619894401,2018-11-21T18:16:20Z,ELERING AP--Base-Network,20181122T0330Z_1D_ELERING_SV_001.xml,0be7fdec-200f-445b-8c41-0941d69929e1,true,ELERING,http://entsoe.eu/CIM/StateVariables/4/1,0be7fdec-200f-445b-8c41-0941d69929e1,http://www.elering.ee/OperationalPlanning,2018-11-22T03:30:00Z,1D,20181122T0330Z,001,001
1,AST,SV,CGMES/1D/AST/20181122/33000/SV/20181122T0330Z_1D_AST_SV_001.xml,CGMES,1025450137,2018-11-21T14:31:55Z,Mustang case: buses - 272 branches - 356,20181122T0330Z_1D_AST_SV_001.xml,fd91e94c-7b9b-41bf-89dd-001fd95a9911,true,AST,http://entsoe.eu/CIM/StateVariables/4/1,fd91e94c-7b9b-41bf-89dd-001fd95a9911,http://www.ast.lv/en/content/power-system-state-0,2018-11-22T03:30:00Z,1D,20181122T0330Z,001,001
2,LITGRID,SV,CGMES/1D/LITGRID/20181122/33000/SV/20181122T0330Z_1D_LITGRID_SV_001.xml,CGMES,-487878261,2018-11-21T14:32:40.8865968Z,,20181122T0330Z_1D_LITGRID_SV_001.xml,3a9523e3-ed9a-11e8-811c-00505691de36,true,LITGRID,http://entsoe.eu/CIM/StateVariables/4/1,3a9523e3-ed9a-11e8-811c-00505691de36,http://www.litgrid.eu/OperationalPlanning,2018-11-22T03:30:00.0000000Z,1D,20181122T0330Z,1,001
