query_id;time_horizon;sceanrio_time;profile;query_duration;query_start;query_end;query_status
nan;2D;2018-11-18 10:30:00+01:00;SV;3,0;2018-12-07 15:38:46.688979;2018-12-07 15:38:49.751606;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 97f419f2-a00f-41e8-8a98-1cfd2b80680e
nan;2D;2018-11-18 11:30:00+01:00;SV;3,0;2018-12-07 15:38:49.767223;2018-12-07 15:38:52.861052;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 5d3d5bad-738e-4dc3-b304-dd878a9ccfe8
nan;2D;2018-11-18 12:30:00+01:00;SV;3,0;2018-12-07 15:38:52.876682;2018-12-07 15:38:55.954859;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: eccea0ca-105c-43af-837a-77374b20295d
nan;2D;2018-11-18 13:30:00+01:00;SV;4,0;2018-12-07 15:38:55.954859;2018-12-07 15:38:59.033092;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 92fefcc3-8640-4861-89dc-a070f217ae9d
nan;2D;2018-11-18 14:30:00+01:00;SV;3,0;2018-12-07 15:38:59.048699;2018-12-07 15:39:02.205041;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 5ce61d11-4cc3-46f7-91e2-229d981dcc3b
nan;2D;2018-11-18 15:30:00+01:00;SV;3,0;2018-12-07 15:39:02.220685;2018-12-07 15:39:05.298868;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 8822bc8b-b44a-4163-9d4b-02733fec8a0c
nan;2D;2018-11-18 16:30:00+01:00;SV;4,0;2018-12-07 15:39:05.298868;2018-12-07 15:39:09.470870;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 0ca0b34b-522f-4063-9242-9cfeb4c13610
nan;2D;2018-11-18 17:30:00+01:00;SV;4,0;2018-12-07 15:39:09.486528;2018-12-07 15:39:13.549120;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 52880352-edf4-42bb-bcd6-9ca00404d05b
nan;2D;2018-11-18 18:30:00+01:00;SV;3,0;2018-12-07 15:39:13.564733;2018-12-07 15:39:16.674205;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 6d5b608e-e577-40ab-b922-6e203afc0398
nan;2D;2018-11-18 19:30:00+01:00;SV;2,0;2018-12-07 15:39:16.689820;2018-12-07 15:39:18.753865;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 0a0fb93e-cdbe-4b65-bfab-4e7be59e199f
nan;2D;2018-11-18 20:30:00+01:00;SV;2,0;2018-12-07 15:39:18.768029;2018-12-07 15:39:20.893088;Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: fb04b55e-175f-48e7-a6b9-d7cf99d67245
nan;2D;2018-11-18 21:30:00+01:00;SV;3,0;2018-12-07 15:39:20.893088;2018-12-07 15:39:23.049382;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 66ec5974-77f2-47ea-90eb-bf1e5d19c14d
nan;2D;2018-11-18 22:30:00+01:00;SV;3,0;2018-12-07 15:39:23.064994;2018-12-07 15:39:26.127576;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: d08081f9-dd84-4e4e-ae8b-862cbb45ccc6
nan;2D;2018-11-18 23:30:00+01:00;SV;2,0;2018-12-07 15:39:26.143206;2018-12-07 15:39:28.252622;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: f95770d2-49d5-4281-a215-a067b081f5ec
nan;2D;2018-11-19 00:30:00+01:00;SV;2,0;2018-12-07 15:39:28.268229;2018-12-07 15:39:30.424561;java.lang.RuntimeException: Exception occurred when handling Query operation Please contact your administrator and communicate him the following reference: 7ab575e4-f289-4a79-9cff-84aea6664424
